timestamp,yaw, pitch, roll
1448785280152,-74.5,-32,-42.2
1448785280455,-82.5,-34,-30.3
1448785280748,-87.1,-35,-19.6
1448785281040,-90.1,-34,-9.1
1448785281333,-91.4,-33,0.2
1448785281603,-91.3,-32,7.8
1448785281895,-89.9,-32,13.9
1448785282188,-87.3,-32,18.6
1448785282480,-83.5,-33,22.3
1448785282773,-78.5,-34,25
1448785283065,-72.2,-36,26.7
1448785283358,-64.3,-39,27.5
1448785283650,-54.3,-43,27.3
1448785283943,-41.7,-47,26.1
1448785284235,-26.1,-52,23.7
1448785284528,-7.9,-56,20.2
1448785284820,10.9,-61,16
1448785285090,28,-65,11.4
1448785285383,42.2,-68,6.5
1448785285675,53.5,-70,1.7
1448785285968,62.6,-70,-2.9
1448785286260,69.9,-68,-7.1
1448785286553,75.8,-66,-11
1448785286845,80.6,-64,-14.6
1448785287138,84.5,-61,-17.7
1448785287430,87.7,-58,-20.3
1448785287723,90.2,-56,-22.6
1448785288015,92.2,-54,-24.4
1448785288308,93.7,-52,-25.9
1448785288578,94.9,-50,-27
1448785288870,95.9,-49,-28.1
1448785289163,96.7,-48,-29
1448785289455,97.3,-47,-29.8
1448785289748,97.7,-46,-30.4
1448785290040,97.9,-46,-30.9
1448785290333,97.8,-46,-31.1
1448785290626,97.7,-46,-31.3
1448785290918,97.5,-46,-31.4
1448785291210,97.3,-46,-31.5
1448785291503,97,-46,-31.6
1448785291795,96.6,-47,-31.5
1448785292065,96.1,-48,-31.5
1448785292358,95.6,-48,-31.4
1448785292650,95,-49,-31.2
1448785292943,94.5,-50,-30.9
1448785293235,94,-51,-30.6
1448785293528,93.5,-52,-30.3
1448785293821,93.2,-53,-29.9
1448785294113,92.8,-54,-29.5
1448785294405,92.5,-55,-29.1
1448785294698,92.2,-56,-28.6
1448785294990,91.9,-57,-28.2
1448785295283,91.5,-58,-27.5
1448785295576,91.3,-59,-26.9
1448785295845,91,-60,-26.3
1448785296138,91.1,-61,-25.7
1448785296430,91.3,-62,-25.3
1448785296723,91.4,-63,-24.8
1448785297015,91.3,-63,-24.3
1448785297308,91.5,-64,-23.8
1448785297600,91.7,-65,-23.3
1448785297893,91.6,-65,-22.7
1448785298185,92,-66,-22.3
1448785298478,92.3,-67,-22
1448785298770,92.6,-67,-21.6
1448785299063,92.7,-67,-21.2
1448785299333,92.8,-68,-21
1448785299625,92.9,-68,-20.8
1448785299918,92.7,-68,-20.5
1448785300210,92.7,-69,-20.2
1448785300503,92.5,-69,-20
1448785300795,92.5,-69,-19.8
1448785301088,92.9,-69,-19.7
1448785301381,93.4,-69,-19.7
1448785301673,93.6,-69,-19.7
1448785301966,93.8,-69,-19.6
1448785302258,93.3,-69,-19.5
1448785302551,93.5,-70,-19.4
1448785302821,93.6,-70,-19.3
1448785303113,93.4,-70,-19.1
1448785303406,93.4,-70,-19.1
1448785303698,93.3,-70,-19
1448785303991,93.5,-70,-19.1
1448785304283,93.8,-70,-19.2
1448785304576,93.6,-70,-19.2
1448785304868,93.2,-70,-19.1
1448785305161,93.1,-70,-19.1
1448785305453,92.9,-70,-18.9
1448785305746,93,-70,-18.9
1448785306038,93.1,-70,-19
1448785306330,93.5,-70,-19.2
1448785306600,93.4,-70,-19.2
1448785306893,92.7,-70,-19.2
1448785307185,92.9,-70,-19.2
1448785307478,92.9,-70,-19.2
1448785307770,92.4,-70,-19.2
1448785308063,92.8,-70,-19.2
1448785308355,93,-70,-19.3
1448785308648,93.1,-70,-19.3
1448785308941,92.9,-70,-19.4
1448785309233,92.5,-69,-19.4
1448785309526,92.3,-69,-19.5
1448785309818,92.1,-69,-19.5
1448785310088,92.2,-69,-19.5
1448785310381,92.1,-69,-19.4
1448785310673,92.7,-69,-19.5
1448785310966,92.6,-69,-19.6
1448785311258,92.7,-69,-19.7
1448785311551,92.6,-69,-19.7
1448785311843,92.5,-69,-19.8
1448785312136,92.4,-69,-19.7
1448785312428,92.1,-69,-19.6
1448785312721,91.2,-69,-19.5
1448785313013,91.5,-69,-19.4
1448785313306,92.1,-69,-19.6
1448785313598,92.3,-69,-19.7
1448785313868,92.4,-69,-19.7
1448785314161,92.3,-69,-19.7
1448785314453,92.3,-69,-19.7
1448785314746,92,-69,-19.7
1448785315038,91.9,-69,-19.7
1448785315331,92.1,-69,-19.7
1448785315623,92.7,-69,-19.8
1448785315916,92.9,-69,-19.8
1448785316208,93.1,-69,-19.9
1448785316501,93,-69,-19.9
1448785316793,92.7,-69,-19.8
1448785317086,92.6,-69,-19.8
1448785317356,92.6,-69,-19.7
1448785317648,92.7,-69,-19.7
1448785317941,92.8,-69,-19.6
1448785318233,92.9,-69,-19.7
1448785318526,93,-69,-19.8
1448785318818,92.9,-69,-19.9
1448785319111,93,-69,-20
1448785319403,92.9,-69,-19.9
1448785319696,92.6,-69,-19.8
1448785319988,92.4,-69,-19.7
1448785320281,92.6,-69,-19.7
1448785320573,92.8,-69,-19.8
1448785320843,92.7,-69,-19.8
1448785321136,92.2,-69,-19.8
1448785321428,92.4,-69,-19.8
1448785321721,92.6,-69,-19.8
1448785322013,92.2,-69,-19.7
1448785322306,91.9,-69,-19.6
1448785322599,92.3,-69,-19.6
1448785322891,92.6,-69,-19.7
1448785323184,92.7,-69,-19.8
1448785323476,92.8,-69,-19.8
1448785323768,93.4,-69,-19.9
1448785324083,93.3,-69,-19.8
1448785324354,93.1,-69,-19.8
1448785324624,93,-69,-19.7
1448785324916,93.4,-69,-19.7
1448785325209,93.6,-69,-19.8
1448785325501,93.8,-69,-19.7
1448785325794,93.7,-69,-19.7
1448785326086,94.3,-69,-19.8
1448785326379,94.2,-69,-19.9
1448785326671,93.9,-69,-19.8
1448785326964,93.4,-69,-19.7
1448785327256,93.7,-69,-19.7
1448785327549,93.7,-69,-19.7
1448785327841,93.6,-69,-19.7
1448785328111,93.5,-69,-19.8
1448785328404,93.3,-69,-19.9
1448785328696,93.1,-69,-19.9
1448785328989,93.2,-69,-19.9
1448785329281,93.1,-69,-19.8
